name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Vibrio phage VSK	181604	leaf	6882	3	3	0.0
Volepox virus	28874	species	217124	4	3	0.0
White spot syndrome virus	342409	species	309286	5	3	0.0
Wuhan spider virus 3	1923752	species	9421	3	3	0.0
Xylella phage Salvo	1415147	leaf	55601	3	3	0.0
Yaba-like disease virus	132475	leaf	144575	3	3	0.0
Yaba monkey tumor virus	38804	species	134721	3	3	0.0
Yersinia phage PY54	172667	species	46339	3	3	0.0
Yokapox virus	1076255	species	175699	3	3	0.0
Achromobacter phage JWF	1589748	species	81541	2	2	0.0
Acinetobacter phage ZZ1	1049283	species	166687	2	2	0.0
Agricanvirus	1984776	genus	272089	2	2	0.0
Agrotis segetum nucleopolyhedrovirus B	1580580	species	148981	2	2	0.0
Alces alces faeces associated microvirus MP18 4940	2219137	species	4892	2	2	0.0
Alteromonas phage vB_AmaP_AD45-P1	1300004	species	103910	2	2	0.0
Aotine betaherpesvirus 1	50290	species	219474	2	2	0.0
Avon-Heathcote Estuary associated circular virus 3	1618254	species	2656	2	2	0.0
Bacillus phage 0305phi8-36	458639	species	218948	2	2	0.0
Bacillus phage TsarBomba	1690456	leaf	162486	2	2	0.0
Bastrovirus-like_virus/VietNam/Bat/17819_21	1906170	species	5547	2	2	0.0
Bdellovibrio phage phi1422	1127515	species	45354	2	2	0.0
Beihai hepe-like virus 8	1922385	species	10084	2	2	0.0
Bitter gourd yellow vein virus	1513489	species	5453	2	2	0.0
Bixzunavirus	680114	genus	155226	6	2	0.0
Blackberry yellow vein-associated virus	404196	species	15716	2	2	0.0
Bovine adenovirus 6	111167	leaf	30024	2	2	0.0
Bovine gammaherpesvirus 4	10385	species	108873	2	2	0.0
Burkholderia virus DC1	1136535	species	61847	10	2	0.0
Caulobacter phage Cr30	1357714	species	155997	2	2	0.0
Celeribacter phage P12053L	1197951	species	38889	2	2	0.0
Cellulophaga phage phi10:1	1327981	species	53664	2	2	0.0
Cellulophaga phage phi19:1	1327970	species	57447	2	2	0.0
Cellulophaga phage phi39:1	1327993	species	28760	2	2	0.0
Cellulophaga phage phi4:1	1328029	leaf	145865	5	2	0.0
Cherax quadricarinatus iridovirus	2035708	species	165695	2	2	0.0
Chimeric virus 14	1608440	species	3141	2	2	0.0
Citrobacter phage CF1 ERZ-2017	2267236	leaf	171911	2	2	0.0
Clostridium phage phiCD211	1582152	species	131704	2	2	0.0
Clostridium phage phiCP13O	1042122	species	38329	3	2	0.0
Clostridium phage phiCTP1	871584	species	59199	3	2	0.0
Corynebacterium phage Darwin	2047869	leaf	67743	2	2	0.0
Corynebacterium phage P1201	384848	leaf	70579	2	2	0.0
Cronobacter phage vB_CsaM_GAP31	1141135	leaf	147940	3	2	0.0
Cyanophage P-RSM6	929832	species	192497	3	2	0.0
Cyanophage PSS2	658401	species	107530	2	2	0.0
Deerpox virus W-848-83	305674	leaf	166259	3	2	0.0
Domestic cat hepadnavirus	2107574	species	3187	2	2	0.0
Enterobacter phage Ec_L1	2070180	leaf	51894	2	2	0.0
Enterococcus phage ECP3	1498168	leaf	145518	11	2	0.0
Enterococcus phage EF24C	442493	leaf	142072	10	2	0.0
Enterococcus phage IME_EF3	1416012	leaf	41687	2	2	0.0
Enterococcus phage LY0322	2172042	leaf	40934	3	2	0.0
Epiphyas postvittana nucleopolyhedrovirus	70600	species	118584	2	2	0.0
Erwinia phage PEp14	1131315	species	60714	2	2	0.0
Erwinia phage vB_EamM_ChrisDB	1883371	species	244840	4	2	0.0
Erysipelothrix phage SE-1	1675317	species	34997	2	2	0.0
Escherichia phage APECc02	1655314	leaf	135400	2	2	0.0
Escherichia phage PBECO4	1273738	leaf	348113	2	2	0.0
Escherichia phage vB_EcoM-ep3	1541883	leaf	42351	4	2	0.0
Escherichia virus N4	10752	species	70153	3	2	0.0
Flavobacterium phage FCV-1	1033977	leaf	46450	3	2	0.0
Geobacillus virus E2	447909	species	40863	2	2	0.0
Gordonia phage Terapin	1887654	species	66611	2	2	0.0
Grapevine leafroll-associated virus 4	70177	species	13830	2	2	0.0
Halovirus HCTV-1	1273746	species	103257	2	2	0.0
Huangpi Tick Virus 1	1608047	species	18467	2	2	0.0
Human betaherpesvirus 6B	32604	species	162114	2	2	0.0
Human endogenous retrovirus K113	166122	leaf	9472	107	2	0.0
Idiomarinaceae phage 1N2-2	1536592	species	34773	2	2	0.0
Kayvirus	1857843	genus	138875	2	2	0.0
Klebsiella phage vB_KleM_RaK2	1147094	leaf	345809	6	2	0.0
Klebsiella phage vB_KpnM_KpV477	1852625	species	168272	2	2	0.0
Klebsiella virus 0507KN21	2169687	species	159991	2	2	0.0
Lactococcus phage bIL312	151539	species	15179	2	2	0.0
Lactococcus phage WRP3	1560313	species	130008	4	2	0.0
Listeria phage A500	40522	species	38867	4	2	0.0
Listeria phage List-36	1486422	leaf	131952	2	2	0.0
LR757998.1 Wuhan seafood market pneumonia virus genome assembly, chromosome: whole_genome	9000006	leaf	29866	3	2	0.0
Lymantria xylina nucleopolyhedrovirus	166921	species	156344	2	2	0.0
Lymphocystis disease virus - isolate China	256729	species	186250	2	2	0.0
Lymphocystis disease virus Sa	1898060	species	208501	2	2	0.0
Macacine gammaherpesvirus 4	45455	species	171096	2	2	0.0
Macacine gammaherpesvirus 5	154334	species	133719	2	2	0.0
Microbacterium phage Eleri	2079581	leaf	40366	2	2	0.0
Mikumi yellow baboon virus 1	1546177	leaf	14927	2	2	0.0
MN994468.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CA2/2020, complete genome	9000015	leaf	29883	2	2	0.0
Mocis latipes granulovirus	2072024	species	134272	2	2	0.0
MT123291.2 Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/IQTC02/human/2020/CHN, complete genome	9000055	leaf	29882	20	2	0.0
MT159708.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-11/2020, complete genome	9000067	leaf	29882	2	2	0.0
Mycobacterium phage Bernal13	1486424	leaf	42392	2	2	0.0
Mycobacterium phage Brusacoram	1698358	leaf	47618	4	2	0.0
Mycobacterium phage Gardann	1873696	species	76012	4	2	0.0
Mycobacterium phage Hawkeye	1458711	leaf	67383	2	2	0.0
Mycobacterium phage Larenn	1560285	species	52967	2	2	0.0
Mycobacterium phage Murucutumbu	1560286	species	60609	2	2	0.0
Mycobacterium phage Squirty	1527512	species	60285	2	2	0.0
Mycobacterium phage Tweety	439809	leaf	58692	2	2	0.0
Mycobacterium phage WIVsmall	1327036	species	53359	2	2	0.0
Nonlabens phage P12024S	1168478	leaf	35700	2	2	0.0
Okra mottle virus	619599	species	5313	2	2	0.0
Ostreococcus tauri virus 2	696472	species	184409	5	2	0.0
Palaemonetes kadiakensis Mississippi grass shrimp associated circular virus	1692258	species	1895	2	2	0.0
Paramecium bursaria Chlorella virus 1	10506	species	330611	4	2	0.0
Pectobacterium bacteriophage PM2	1429794	species	170286	2	2	0.0
Pectobacterium phage phiTE	1116482	leaf	142349	6	2	0.0
Pelagibacter phage HTVC010P	1283077	species	34892	2	2	0.0
Phietavirus	1623298	genus	0	2	2	0.0
Phikmvvirus	477967	genus	42922	2	2	0.0
Phytophthora parasitica virus	1608451	species	3753	2	2	0.0
Pithovirus sibericum	1450746	species	610033	2	2	0.0
Pleurochrysis carterae circular virus	2057942	species	2255	2	2	0.0
Polaribacter phage P12002L	1647386	leaf	48689	2	2	0.0
Prochlorococcus phage P-HM2	445696	species	183806	2	2	0.0
Prochlorococcus phage P-RSM4	444862	species	176428	2	2	0.0
Prochlorococcus phage P-SSM2	268746	species	252401	2	2	0.0
Propionibacterium phage ATCC29399B_T	1229793	leaf	29516	2	2	0.0
Propionibacterium phage Lauchelly	1655015	leaf	29517	2	2	0.0
Providencia phage Redjac	1235559	species	58104	2	2	0.0
Pseudomonas phage 201phi2-1	198110	species	316674	2	2	0.0
Pseudomonas phage F10	347324	species	39199	2	2	0.0
Pseudomonas phage phi15	988656	species	39562	2	2	0.0
Pseudomonas phage PollyC	2079290	leaf	41651	2	2	0.0
Pseudomonas phage vB_PaeP_Tr60_Ab31	1449437	species	45550	6	2	0.0
Pseudomonas phage YH6	1566995	species	73050	2	2	0.0
Pseudomonas virus F116	280701	species	65195	4	2	0.0
Pseudomonas virus LUZ24	484895	species	45625	2	2	0.0
Pseudomonas virus PMG1	1129146	species	54024	14	2	0.0
Rabbit fibroma virus	10271	species	159857	2	2	0.0
Ralstonia phage RSP15	1785960	species	167619	2	2	0.0
Ralstonia phage RSY1	1530085	species	40002	2	2	0.0
Rat coronavirus Parker	502102	leaf	31250	2	2	0.0
Rhinolophus associated gemykibivirus 2	2004966	species	1998	2	2	0.0
Rhodococcus phage ReqiPepy6	691965	leaf	76797	4	2	0.0
Rhodococcus phage ReqiPine5	691963	species	59231	2	2	0.0
Roseobacter virus SIO1	136084	species	39898	2	2	0.0
Salmonella phage SPN3US	1090134	leaf	240413	2	2	0.0
Salmonella virus ST64T	173443	species	40679	5	2	0.0
Salmon gill poxvirus	1680908	species	241564	2	2	0.0
Sewage-associated circular DNA virus-27	1592094	species	2638	2	2	0.0
Staphylococcus phage 3MRA	1505026	species	41931	2	2	0.0
Staphylococcus phage 6ec	1500386	leaf	93794	2	2	0.0
Staphylococcus phage DW2	1464127	species	41941	3	2	0.0
Staphylococcus phage SPbeta-like	1732063	species	127726	2	2	0.0
Staphylococcus phage StB12	1147042	species	44714	2	2	0.0
Staphylococcus phage StB27	1147044	species	40071	2	2	0.0
Stipagrostis associaed virus	2282646	species	2296	2	2	0.0
Streptococcus phage phiARI0462	1701826	species	40498	3	2	0.0
Streptococcus virus Sfi11	78541	species	39807	2	2	0.0
Streptomyces phage BillNye	2079426	leaf	127084	118	2	0.0
Stygiolobus rod-shaped virus	537009	species	28096	2	2	0.0
Suid alphaherpesvirus 1	10345	species	143461	2	2	0.0
Sulfitobacter phage phiCB2047-B	754046	species	74485	3	2	0.0
Swinepox virus	10276	species	146454	3	2	0.0
Synechococcus phage ACG-2014f	1493511	species	228143	2	2	0.0
Synechococcus phage ACG-2014g	1493512	species	174885	7	2	0.0
Synechococcus phage S-CAM7	1883368	species	216121	2	2	0.0
Synechococcus phage S-PM2	238854	species	196280	4	2	0.0
Synechococcus phage S-SSM4	536466	species	182801	2	2	0.0
Tacheng Tick Virus 6	1608088	leaf	10787	2	2	0.0
Tellina virus 1	321302	leaf	6396	2	2	0.0
Thysanoplusia orichalcea nucleopolyhedrovirus	101850	species	132978	2	2	0.0
Tipula oleracea nudivirus	1546257	species	145704	2	2	0.0
Tsukamurella phage TPA4	1647476	species	56212	2	2	0.0
Turkeypox virus	336486	species	188534	2	2	0.0
Uganda S virus	64297	species	10182	2	2	0.0
uncultured crAssphage	1211417	species	97065	3	2	0.0
Vibrio phage phi 1	1589297	species	66708	11	2	0.0
Vibrio phage PVA1	1461743	species	41529	2	2	0.0
Vibrio phage Thalassa	2570301	leaf	128602	234	2	0.0
Vibrio phage VPMS1	1233488	species	42313	2	2	0.0
Weissella phage WCP30	1837862	species	33697	2	2	0.0
Xanthomonas phage Xp15	322855	species	55770	2	2	0.0
Xylella phage Sano	1415148	leaf	56147	2	2	0.0
Yersinia phage phiR1-RT	1206558	leaf	168809	3	2	0.0
Acholeplasma virus L2	46014	species	11965	1	1	0.0
Acidianus bottle-shaped virus	437444	species	23814	1	1	0.0
Acidianus filamentous virus 6	346882	species	39577	1	1	0.0
Acinetobacter phage WCHABP12	1965454	leaf	45415	1	1	0.0
Acinetobacter phage YMC/09/02/B1251	1221835	leaf	45364	6	1	0.0
Actinoplanes phage phiAsp2	279303	species	58638	1	1	0.0
Adoxophyes honmai nucleopolyhedrovirus	224399	species	113220	1	1	0.0
Aeonium ringspot virus	1962503	species	11559	1	1	0.0
Aeromonas phage AS-gz	2026082	leaf	162422	2	1	0.0
Aeromonas phage CC2	1204516	species	231743	11	1	0.0
Aeromonas phage pAh6-C	1505227	species	53744	1	1	0.0
Aeromonas phage phiAS4	879628	leaf	163875	1	1	0.0
Aeromonas phage pIS4-A	754050	leaf	47624	1	1	0.0
African swine fever virus	10497	species	181133	2	1	0.0
Agrobacterium phage 7-7-1	1161931	species	69391	1	1	0.0
Agrotis segetum granulovirus	10464	species	131557	1	1	0.0
Akabane virus	70566	leaf	12035	1	1	0.0
Alcelaphine gammaherpesvirus 1	35252	species	130608	1	1	0.0
Alcelaphine gammaherpesvirus 2	138184	species	137090	1	1	0.0
Anopheles gambiae densovirus	487311	leaf	4139	1	1	0.0
Aquamicrobium phage P14	1927013	leaf	40551	1	1	0.0
Aquareovirus C	185782	species	23696	1	1	0.0
Aquatic bird bornavirus 2	1884917	leaf	8904	1	1	0.0
Arthrobacter phage Circum	1772295	leaf	58353	1	1	0.0
Arthrobacter phage Colucci	2015834	leaf	70707	3	1	0.0
Arthrobacter phage Gordon	1772298	leaf	58279	1	1	0.0
Arthrobacter phage Martha	1772307	leaf	51027	1	1	0.0
Arthrobacter phage Molivia	2015839	leaf	58247	1	1	0.0
Arthrobacter phage Piccoletto	2024282	leaf	49808	2	1	0.0
Ateline gammaherpesvirus 3	85618	species	108409	1	1	0.0
Autographa californica nucleopolyhedrovirus	46015	leaf	133894	3	1	0.0
Avian avulavirus 8	623144	species	15342	1	1	0.0
Azospirillum phage Cd	467481	species	62337	1	1	0.0
Bacillus phage Bp8p-C	1445810	leaf	151417	1	1	0.0
Bacillus phage Claudi	1874001	species	26504	1	1	0.0
Bacillus phage Mgbh1	1796993	leaf	58951	1	1	0.0
Bacillus phage Nigalana	1805951	species	163041	2	1	0.0
Bacillus phage phi4J1	1643326	species	41486	1	1	0.0
Bacillus phage SP-15	1792032	leaf	221908	1	1	0.0
Bacillus phage Spock	1406791	leaf	164297	2	1	0.0
Bacillus phage Stahl	1610832	leaf	80148	1	1	0.0
Bacillus phage W.Ph.	764595	leaf	156897	1	1	0.0
Bacillus virus Finn	1273742	species	50161	1	1	0.0
Bacillus virus GA1	12345	species	21129	1	1	0.0
Bacillus virus PBS1	10683	species	252197	17	1	0.0
Barbel circovirus	759938	species	1957	1	1	0.0
Bat associated circovirus 9	2169823	species	1900	1	1	0.0
Bat mastadenovirus WIV13	1788435	leaf	29162	1	1	0.0
Bean necrotic mosaic virus	1033976	species	16510	1	1	0.0
Beihai hermit crab virus 1	1922388	species	9888	1	1	0.0
Beihai picorna-like virus 119	1922548	species	10859	1	1	0.0
Beihai picorna-like virus 47	1922591	species	8920	1	1	0.0
Beihai sipunculid worm virus 3	1922675	species	9110	1	1	0.0
Bougainvillea chlorotic vein banding virus	263892	species	8759	1	1	0.0
Bovine foamy virus	207343	species	12002	1	1	0.0
Breda virus	46473	leaf	28475	1	1	0.0
Brevicoryne brassicae virus - UK	436447	leaf	10180	1	1	0.0
Broad-leafed dock virus A	1987403	species	8174	1	1	0.0
Brochothrix phage A9	857312	leaf	127065	5	1	0.0
Brochothrix phage BL3	764562	species	41518	1	1	0.0
Bufonid herpesvirus 1	2282206	species	158250	1	1	0.0
Bulbul coronavirus HKU11-934	572288	leaf	26487	1	1	0.0
Burkholderia phage Bcep176	348137	species	44856	1	1	0.0
Burkholderia phage BcepGomr	437329	species	52414	1	1	0.0
Burkholderia phage JG068	1401297	species	41604	1	1	0.0
Burkholderia phage KS5	910473	species	37236	1	1	0.0
Burkholderia virus Bcepil02	644524	species	62715	4	1	0.0
Cacao swollen shoot Ghana Q virus	2056885	species	7102	1	1	0.0
Cachoeira Porteira virus	1138490	leaf	12560	1	1	0.0
California sea lion adenovirus 1	943083	leaf	31709	1	1	0.0
Campoletis sonorensis ichnovirus	10484	species	240596	3	1	0.0
Campylobacter phage vB_CjeM_Los1	1904491	leaf	134073	2	1	0.0
Campylobacter virus CP21	1190451	species	182833	2	1	0.0
Campylobacter virus CPX	1110702	species	132662	5	1	0.0
Canis familiaris papillomavirus 4	464980	leaf	7742	1	1	0.0
Cano Delgadito orthohantavirus	1980463	species	12239	1	1	0.0
Catopsilia pomona nucleopolyhedrovirus	1850906	species	128058	1	1	0.0
Caulobacter virus Karma	1211641	species	221828	11	1	0.0
Caulobacter virus Magneto	1211642	species	218929	11	1	0.0
Caulobacter virus phiCbK	1204537	species	215710	8	1	0.0
Caviid betaherpesvirus 2	33706	species	233501	1	1	0.0
Cellulophaga phage phi12:1	1327976	leaf	39148	1	1	0.0
Cellulophaga phage phi12a:1	1327987	species	6478	1	1	0.0
Cellulophaga phage phi17:2	1327972	leaf	145343	4	1	0.0
Cellulophaga phage phi46:3	1327985	species	72961	2	1	0.0
Ceratobasidium endornavirus C	1908813	species	21004	1	1	0.0
Cercopithecine alphaherpesvirus 2	10317	species	150715	1	1	0.0
Cercopithecine betaherpesvirus 5	50292	species	226084	1	1	0.0
Chrysodeixis chalcites nucleopolyhedrovirus	320432	species	149622	1	1	0.0
Circovirus-like genome DCCV-13	1788441	species	2433	1	1	0.0
Citrobacter virus Stevie	1540096	species	49816	1	1	0.0
Clanis bilineata nucleopolyhedrovirus	1307957	species	135454	1	1	0.0
Clostridium phage c-st	12336	species	185683	1	1	0.0
Clostridium phage phiCT19406C	1567011	species	35703	1	1	0.0
Clostridium phage phiCT453A	1567012	species	42158	1	1	0.0
Clostridium virus phiCD27	559189	species	50930	2	1	0.0
Colobus guereza papillomavirus 2	889813	leaf	7686	1	1	0.0
Common bottlenose dolphin gammaherpesvirus 1 strain Sarasota	2022783	species	167212	1	1	0.0
Corriparta virus	40053	species	19093	1	1	0.0
Cotton chlorotic spot virus	1396815	species	5320	1	1	0.0
Cowpea chlorotic mottle virus	12303	species	8118	1	1	0.0
Cronobacter phage CR5	1195085	species	223989	2	1	0.0
Cronobacter phage ENT47670	984186	species	47611	1	1	0.0
Cronobacter phage vB_CsaM_GAP161	1141138	species	178193	1	1	0.0
Cryphonectria hypovirus 4	245101	species	9149	1	1	0.0
Cryptophlebia leucotreta granulovirus	35254	species	110907	1	1	0.0
Cucurbit chlorotic yellows virus	558690	species	16648	1	1	0.0
Culex pipiens densovirus	185638	leaf	5759	1	1	0.0
Culex theileri flavivirus	1244563	species	10280	1	1	0.0
Cyanophage NATL2A-133	445692	species	47536	1	1	0.0
Cyanophage P-TIM40	1589733	species	188632	1	1	0.0
Cyanophage SS120-1	616674	species	46997	1	1	0.0
Cyanophage S-TIM5	1137745	species	161440	1	1	0.0
Cyprinid herpesvirus 1	317858	species	291144	2	1	0.0
Deer mastadenovirus B	2170000	species	33945	1	1	0.0
Delftia phage PhiW-14	665032	leaf	157486	1	1	0.0
Diatom colony associated dsRNA virus 11	1678171	species	5160	1	1	0.0
Dishui lake phycodnavirus 1	2079134	species	181035	1	1	0.0
Dragonfly larvae associated circular virus-9	1454030	species	1722	1	1	0.0
Duck astrovirus C-NGB	622438	leaf	7722	1	1	0.0
Eidolon helvum papillomavirus 3	1335477	leaf	7991	1	1	0.0
Elephant endotheliotropic herpesvirus 4	548914	species	205896	1	1	0.0
Elephant endotheliotropic herpesvirus 5	768738	species	180800	1	1	0.0
Elephantid betaherpesvirus 1	146015	species	180421	1	1	0.0
Enterobacteria phage vB_EcoS_Rogue1	1147155	leaf	45805	1	1	0.0
Enterobacter phage Enc34	1150990	species	60496	1	1	0.0
Enterococcus phage phiEf11	663241	species	42822	2	1	0.0
Epinotia aporema granulovirus	166056	species	119082	2	1	0.0
Eptesicus fuscus gammaherpesvirus	2035399	species	166748	1	1	0.0
Equid alphaherpesvirus 1	10326	species	150224	1	1	0.0
Equid alphaherpesvirus 4	10331	species	145597	1	1	0.0
Equid gammaherpesvirus 2	12657	species	184439	1	1	0.0
Erinnyis ello granulovirus	307444	species	102759	1	1	0.0
Erwinia phage PhiEaH1	1401669	leaf	218339	1	1	0.0
Erwinia phage phiEaH2	1029988	leaf	243050	2	1	0.0
Erwinia phage vB_EamM_EarlPhillipIV	1883372	species	223935	2	1	0.0
Erwinia phage vB_EamM_Kwan	1883374	species	246390	4	1	0.0
Erwinia phage vB_EamM_RisingSun	2026080	leaf	235108	1	1	0.0
Erwinia phage vB_EamM_Special G	1815989	leaf	273224	1	1	0.0
Erwinia phage vB_EamP_Frozen	1852641	leaf	75147	1	1	0.0
Escherichia phage Bp4	1458848	leaf	72583	1	1	0.0
Escherichia phage CF2	1965365	leaf	168188	3	1	0.0
Escherichia phage EB49	1048207	leaf	47180	1	1	0.0
Escherichia phage ECBP1	1604356	leaf	69855	1	1	0.0
Escherichia phage ECML-117	1204521	species	66854	1	1	0.0
Escherichia phage FFH2	1446490	leaf	139020	1	1	0.0
Escherichia phage HK639	906669	species	49576	1	1	0.0
Escherichia phage IME11	1239384	leaf	72570	1	1	0.0
Escherichia phage JS98	293178	leaf	170523	1	1	0.0
Escherichia phage MX01	1837930	leaf	168929	1	1	0.0
Escherichia phage PE3-1	1498170	species	39093	1	1	0.0
Escherichia phage phAPEC8	1229753	species	147737	2	1	0.0
Escherichia phage slur09	1728958	leaf	111751	1	1	0.0
Escherichia phage vB_Eco_ACG-M12	1141140	leaf	46054	1	1	0.0
Escherichia phage vB_EcoM_ECOO78	1970797	leaf	41289	1	1	0.0
Escherichia virus KP26	1920999	species	93357	1	1	0.0
Escherichia virus N15	40631	species	46375	1	1	0.0
Escherichia virus T5	10726	species	121750	1	1	0.0
Faeces associated gemycircularvirus 19	1843739	leaf	2308	1	1	0.0
Faeces associated gemycircularvirus 21	1843741	leaf	2125	1	1	0.0
Fall chinook aquareovirus	1963254	species	23307	1	1	0.0
Felid alphaherpesvirus 1	10334	species	135797	1	1	0.0
Feline papillomavirus type 2	568209	leaf	7899	1	1	0.0
Felis catus gammaherpesvirus 1	1452540	leaf	122522	1	1	0.0
Felixounavirus	1198140	genus	87274	1	1	0.0
Ferret coronavirus	1264898	species	28434	1	1	0.0
Figwort mosaic virus	10649	species	7743	1	1	0.0
Flavobacterium phage FCL-2	908819	leaf	47142	2	1	0.0
Fletchervirus	1636618	genus	133822	1	1	0.0
Fusarium oxysporum f. sp. dianthi mycovirus 1	1679238	leaf	11804	1	1	0.0
Gammapapillomavirus sp.	2049444	species	65410	2	1	0.0
Ganda bee virus	1931095	leaf	10460	1	1	0.0
Gokushovirinae Fen672_31	1655656	species	4624	1	1	0.0
Gokushovirinae GNX3R	1701405	species	4273	1	1	0.0
Golden Marseillevirus	1720526	species	360610	2	1	0.0
Goose adenovirus 4	1193422	leaf	43376	1	1	0.0
Gordonia phage Bantam	1887641	leaf	92580	1	1	0.0
Gordonia phage CaptainKirk2	1887643	species	47898	1	1	0.0
Gordonia phage GMA7	1647286	leaf	73419	1	1	0.0
Gordonia phage GTE5	319522	species	65839	1	1	0.0
Gordonia phage GTE7	1100814	leaf	74431	1	1	0.0
Gordonia phage GTE8	1647475	species	67617	1	1	0.0
Gordonia phage Lennon	2041512	leaf	60237	1	1	0.0
Gordonia phage Orchid	1838075	leaf	80650	1	1	0.0
Gordonia phage Wizard	1838083	leaf	58308	1	1	0.0
Grapevine leafroll-associated virus 13	1815581	species	17608	1	1	0.0
Grapevine virus J	2093496	species	7390	1	1	0.0
Gryllus bimaculatus nudivirus	432587	species	96944	2	1	0.0
Haloarcula californiae icosahedral virus 1	1735722	leaf	31314	1	1	0.0
Haloarcula hispanica icosahedral virus 2	1154689	species	30578	1	1	0.0
Halorubrum pleomorphic virus 1	634168	leaf	7048	1	1	0.0
Halovirus HSTV-1	1262530	species	32189	1	1	0.0
Heliothis virescens ascovirus 3f	328614	leaf	198157	1	1	0.0
Hemileuca sp. nucleopolyhedrovirus	1367203	leaf	140633	1	1	0.0
Hoya chlorotic spot virus	1979541	species	6386	1	1	0.0
Hubei coleoptera virus 3	1922862	species	13741	1	1	0.0
Hubei dimarhabdovirus virus 2	1922867	species	11332	1	1	0.0
Hubei leech virus 3	1922901	species	8848	1	1	0.0
Hubei picorna-like virus 37	1923117	species	9789	1	1	0.0
Hubei picorna-like virus 70	1923154	species	10429	1	1	0.0
Hubei rhabdo-like virus 3	1923187	species	12303	1	1	0.0
Human alphaherpesvirus 1	10298	species	152222	1	1	0.0
Human alphaherpesvirus 2	10310	species	154675	1	1	0.0
Human astrovirus BF34	1518575	leaf	6577	1	1	0.0
Human betaherpesvirus 5	10359	species	235646	1	1	0.0
Human betaherpesvirus 7	10372	species	153080	1	1	0.0
Human coronavirus HKU1	290028	species	29926	1	1	0.0
Human coronavirus OC43	31631	leaf	30741	1	1	0.0
Human fecal virus Jorvi2	2017081	species	3925	1	1	0.0
Human orthopneumovirus	11250	species	30447	1	1	0.0
Human papillomavirus 121	915429	leaf	7342	1	1	0.0
Human papillomavirus type 88	337054	leaf	7326	1	1	0.0
Hyposoter fugitivus ichnovirus	265522	species	246092	1	1	0.0
Ictalurid herpesvirus 1	10401	species	134226	1	1	0.0
Idiomarinaceae phage Phi1M2-2	1527515	species	36844	1	1	0.0
Influenza A virus (A/goose/Guangdong/1/1996(H5N1))	93838	leaf	13590	1	1	0.0
Invertebrate iridescent virus 30	345585	species	198533	1	1	0.0
Kallithea virus	1654582	species	152388	1	1	0.0
Klebsiella phage JD18	1698360	leaf	166313	1	1	0.0
Klebsiella phage KP27	1129147	leaf	174413	4	1	0.0
Klebsiella phage Miro	1675608	leaf	176055	4	1	0.0
Klebsiella phage vB_KpnM_KB57	1719140	species	142987	3	1	0.0
Klebsiella phage vB_KpnM_KpV79	2041212	leaf	47760	1	1	0.0
Kobuvirus cattle/Kagoshima-1-22-KoV/2014/JPN	1659220	leaf	8087	1	1	0.0
Kotonkan virus	318836	leaf	15867	1	1	0.0
Lactobacillus phage JCL1032	37105	species	49433	1	1	0.0
Lactobacillus phage Lrm1	496874	species	39989	1	1	0.0
Lactobacillus phage Lv-1	578234	species	38934	1	1	0.0
Lactobacillus phage phiAQ113	1206110	species	36566	1	1	0.0
Lactobacillus virus Lb338-1	632112	species	142111	1	1	0.0
Lactobacillus virus phiJL1	235201	species	36674	1	1	0.0
Lactococcus phage 949	881953	species	114768	1	1	0.0
Lactococcus phage bIL285	151535	species	35538	1	1	0.0
Lactococcus phage P087	641487	species	60074	1	1	0.0
Lactococcus phage P118	1476888	species	54173	2	1	0.0
Lactococcus phage P162	1476889	species	55584	2	1	0.0
Lactococcus phage P335 sensu lato	354260	species	36596	1	1	0.0
Lactococcus phage Q54	382685	species	26537	1	1	0.0
Lake Sarah-associated circular molecule 8	1685733	species	1182	1	1	0.0
Lake Sarah-associated circular virus-27	1685754	species	2256	1	1	0.0
Lambdina fiscellaria nucleopolyhedrovirus	1642929	species	157977	1	1	0.0
Listeria phage LP-101	1458856	species	43767	2	1	0.0
Listeria phage vB_LmoS_188	1591072	species	38392	2	1	0.0
Loveridges garter snake virus 1	1881951	leaf	8884	1	1	0.0
Luffa yellow mosaic virus	207240	species	5455	1	1	0.0
Lumpy skin disease virus NI-2490	376849	leaf	150773	4	1	0.0
Lynx canadensis associated microvirus CLP 9413	2219141	species	5312	1	1	0.0
Macacine betaherpesvirus 3	47929	species	221454	1	1	0.0
Maize yellow dwarf virus RMV	2170101	species	5612	1	1	0.0
Mamestra configurata nucleopolyhedrovirus A	207830	species	155060	2	1	0.0
Marseillevirus marseillevirus	694581	species	368454	3	1	0.0
Mason-Pfizer monkey virus	11855	species	8557	1	1	0.0
Melbournevirus	1560514	species	369360	3	1	0.0
Microbacterium phage vB_MoxS-ISF9	1458670	species	59254	1	1	0.0
Micromonas pusilla reovirus	338781	species	25563	1	1	0.0
Microviridae Bog1249_12	1655647	species	4451	1	1	0.0
MN975262.1 Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV_HKU-SZ-005b_2020, complete genome	9000009	leaf	29891	8	1	0.0
Monkeypox virus Zaire-96-I-16	619591	leaf	196858	1	1	0.0
